"","V1"
"1",-1.03135700868482
"2",-0.246068988136797
"3",1.06170217181344
"4",-0.94717873627913
"5",-0.163937596576806
"6",0.194974819227338
"7",0.576439636834037
"8",0.699845225631078
"9",-0.907593302697414
"10",-0.1399978346504
"11",-0.942783816180169
"12",-1.14538034466945
"13",-0.132511108642238
"14",0.281886736254006
"15",0.261561163926304
"16",0.81875891529815
"17",0.600746876484069
"18",-0.404693768493395
"19",-0.335418742589191
"20",-0.53447969076116
"21",-0.295415550920688
"22",-0.303606830022482
"23",-0.569959924661324
"24",-0.634685946363032
"25",-0.042118655876885
"26",0.262280509653087
"27",-0.167020590363829
"28",-0.0128964453926076
"29",-0.143836886941111
"30",-0.997861204608106
"31",1.7509068094552
"32",-0.218830311074618
"33",-0.391425511387999
"34",0.421980297042357
"35",-0.0175672148969818
"36",1.17255013341215
"37",0.974356877977614
"38",-0.512953759199342
"39",-0.599689581688029
"40",1.1282475258562
"41",-0.133945624125248
"42",-0.0483864877014674
"43",-0.270641595480201
"44",-0.727992682090131
"45",-0.875580834458334
"46",-0.460963881310501
"47",-0.364512398246738
"48",-0.658918045220039
"49",-1.26747361824331
"50",1.34610265136025
"51",-0.534218866755097
"52",-0.781280484317529
"53",-0.143393028361654
"54",-0.387319983083104
"55",0.44457796335229
"56",-0.223504569011839
"57",0.667421680288055
"58",-0.528095744982346
"59",-0.235883205236045
"60",-0.0566083611656786
