"","V1"
"1",0.644375009612774
"2",-0.858057240457958
"3",-0.52708101716071
"4",-0.263122764581733
"5",-0.320339416907212
"6",0.33453506353517
"7",0.142636594825034
"8",0.750490288707334
"9",-0.266103849310103
"10",-0.452449462048681
"11",0.0307422454742418
"12",-0.624537691805603
"13",0.123254675221499
"14",-1.01719909418343
"15",0.719437184862624
"16",0.0322783537351007
"17",1.1538586968978
"18",0.289764277069301
"19",0.0820228502557959
"20",0.709728846812048
"21",0.211960501665184
"22",0.184743528279926
"23",-0.857849504493269
"24",-0.235745195968873
"25",0.114366763972334
"26",-0.904394003188507
"27",0.800867433637579
"28",0.306705134618394
"29",-0.731446291279046
"30",-0.000136151712636626
"31",-0.583391925824638
"32",0.735535633282079
"33",-0.478093347416783
"34",0.66268171992792
"35",0.0719993378974478
"36",-0.619545824109963
"37",-0.812557259359937
"38",0.775656798708748
"39",0.836276993509338
"40",-0.215489798061761
"41",0.242216974165011
"42",-1.05176695490767
"43",0.508861596933025
"44",-1.00881782605138
"45",0.380916147539702
"46",0.455427314451179
"47",-0.622381699293057
"48",0.23148683670544
"49",-0.0943099123093182
"50",1.09571378673527
"51",1.00201992617942
"52",0.932108353680497
"53",0.713142960240892
"54",0.686969172920198
"55",0.441557628173545
"56",1.20243258826258
"57",-0.637008288537681
"58",-0.245108422128722
"59",0.57425252731442
"60",-0.515471933036303
"61",-0.517687059918519
"62",-0.403720770291467
"63",0.393279324813411
"64",0.157271135464447
"65",0.803971534873169
"66",0.621289115812388
"67",0.00701878364595913
"68",0.158547364991787
"69",0.619644522392886
"70",-0.39284621893096
"71",-0.118984562226215
"72",0.38473268798486
"73",-0.610057956716877
"74",-0.279543806408478
"75",-0.1428903814053
"76",0.169359749892646
"77",-0.281652791900648
"78",1.50155199883492
"79",-0.333060605659104
"80",-0.293259711003171
"81",-0.279603919959278
"82",0.367421367121297
"83",1.06505056395868
"84",-0.0864274548381387
"85",0.275770201057705
"86",-0.355480078403206
"87",-0.297835938160211
"88",-1.12980061700945
"89",0.0261981455258897
"90",0.396211093746673
"91",0.186444180196492
"92",0.0240001324478356
"93",-0.0359249807608795
"94",0.721445471055581
"95",-1.0407422610263
"96",-0.879702690515938
"97",-1.2303937048492
"98",-0.765502899222174
"99",0.29564035384299
"100",-0.324642173158872
"101",0.0153921457661022
"102",0.433223056567313
"103",0.927238441469773
"104",-0.915652096485045
"105",-0.723098536698395
"106",-1.10567874713168
"107",-0.171913635972096
"108",0.00802833128807947
"109",-1.35501087259752
"110",0.44644698576219
"111",-0.794044222557038
"112",-0.407030212306955
"113",0.142682994760185
"114",0.71058781739976
"115",0.109566659840939
"116",0.228295958121335
"117",0.198036348578225
"118",1.7346229777364
"119",-0.104096477823361
"120",-0.182835658260077
"121",0.317042113858798
"122",0.115838162768476
"123",-0.467261307584378
"124",1.10700400836459
"125",0.117564143595948
"126",-0.486646893059585
"127",-0.0360875332964103
"128",0.0621949550349552
"129",0.187157532503416
"130",1.21452989782545
"131",-0.197625729500251
"132",-0.174385897194562
"133",-0.182240998341737
"134",-0.296173099055623
"135",1.21589818599577
"136",-0.975634773588671
"137",0.0630671293822563
"138",-0.646328330672295
"139",-0.66821257152492
"140",-0.273765013391567
"141",0.588252129401673
"142",0.602100778946607
"143",0.525634093442645
"144",-0.325471658748579
"145",0.104637718576884
"146",-0.198057623482188
"147",-0.362829779426736
"148",-0.0286963295656393
"149",0.304053927501196
"150",-0.336140288939609
"151",-0.698777319580219
"152",0.395425384463161
"153",0.211752093882501
"154",0.954438679089266
"155",-1.31162783969718
"156",0.502820277347605
"157",-0.469934318038308
"158",-0.697565967788116
"159",0.709821964318709
"160",0.631333101547781
"161",-1.08732419211647
"162",-0.795225245630537
"163",-0.668915971067912
"164",-0.338327410731632
"165",0.579875129215873
"166",0.304896533358144
