"","V1"
"1",0.275957777451935
"2",-0.533849031198504
"3",-0.50853418318138
"4",-0.518016435489583
"5",-0.597765960210204
"6",-0.214829658410041
"7",0.51371636927322
"8",-0.984964728316627
"9",-1.07437327122138
"10",0.0588721985663295
"11",0.479082409708156
"12",-1.41119535594125
"13",0.375167496591638
"14",-0.794687821716315
"15",-1.18566872304536
"16",-0.432160574352581
"17",0.745985594473965
"18",0.288565087180432
"19",-0.311300301786246
"20",0.29422821913164
"21",0.845420599833483
"22",-1.15942489758055
"23",-1.55274543236763
"24",-0.941917344008209
"25",-1.14427092532738
"26",-0.813027787401705
"27",-0.0316144041765543
"28",-1.0230472005143
"29",-1.04637454140116
"30",-1.07496583092753
"31",-0.491921221103849
