"","V1"
"1",1.20750799644403
"2",0.737345518965056
"3",-0.420997863904645
"4",0.417077963905898
"5",-0.126875222418826
"6",0.368897331479567
"7",0.181131043256849
"8",0.154587926916613
"9",-0.0146155924302578
"10",-0.182303271385339
"11",0.110502464024823
"12",0.224274533693952
"13",-0.123600956763052
"14",-0.0277380841100391
"15",0.137372452410942
"16",0.296006567678811
"17",-0.280050837362843
"18",0.298489837574633
"19",-0.307442377167432
"20",-0.275467839640278
"21",-0.125112541395389
"22",0.0599618250520584
"23",0.0949562360629636
"24",0.0250234113561578
"25",0.0227468404710016
