"","V1"
"1",0.703764405709417
"2",0.4304904596025
"3",-0.240145732437742
"4",0.237556819905234
"5",-0.074640870625506
"6",0.199320863083529
"7",0.101817149457541
"8",0.0860595379440828
"9",-0.00271287949513699
"10",-0.101814037422076
"11",0.066727605353252
"12",0.13462810906826
"13",-0.0724107968965864
"14",-0.0229548905203728
"15",0.079139169461537
"16",0.168076614212875
"17",-0.158331131526161
"18",0.184127260338596
"19",-0.172567297855469
"20",-0.150032074513765
"21",-0.0600375262421108
"22",0.0508626770324115
"23",0.054807009390002
"24",0.0177699915071346
"25",0.0193565868072649
